id,price,destination,hand_luggage,checked_baggage,trip_mins,is_holiday,days_left
PQC0292,1535463,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,60,2,1
PQC0182,1735463,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,60,2,1
PQC0305,1735463,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,60,2,1
PQC0201,1827820,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,65,2,1
PQC0245,1979244,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,65,2,1
PQC0226,2040458,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,60,2,1
PQC0269,2040458,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,65,2,1
PQC0293,1390608,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,60,2,2
PQC0247,1411137,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,65,2,2
PQC0183,1479519,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,60,2,2
PQC0306,1501497,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,60,2,2
PQC0270,1501497,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,65,2,2
PQC0204,1535463,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,45,2,2
PQC0252,1886112,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,55,2,2
PQC0227,1920078,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,60,2,2
PQC0184,1236762,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,60,2,3
PQC0205,1274724,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,45,2,3
PQC0294,1274724,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,60,2,3
PQC0320,1274724,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,60,2,3
PQC0271,1389609,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,65,2,3
PQC0253,1703295,"Phú Quốc (PQC)
Sân bay Phú Quốc",12,23,55,2,3
