id,brand,price,destination,trip_mins,is_holiday,days_left,start_hour_Afternoon,start_hour_EarlyMorning,start_hour_Evening,start_hour_LateNight,start_hour_Morning,end_hour_Afternoon,end_hour_EarlyMorning,end_hour_Evening,end_hour_LateNight,end_hour_Morning,hand_luggage_7,hand_luggage_10,hand_luggage_12,checked_baggage_0,checked_baggage_20,checked_baggage_23
DAD0002,Bamboo Airways,1300341,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,2,1,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
DAD0014,Bamboo Airways,1443123,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,2,1,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0003,Bamboo Airways,1190194,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,2,2,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
DAD0015,Bamboo Airways,1443123,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,2,2,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0016,Bamboo Airways,1608343,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,2,3,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0004,Bamboo Airways,2104002,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,2,3,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
DAD0017,Bamboo Airways,1443123,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,4,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0005,Bamboo Airways,1190194,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,5,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
DAD0018,Bamboo Airways,1300341,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,5,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0019,Bamboo Airways,2540509,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,6,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False
DAD0020,Bamboo Airways,1443123,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,7,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0006,Bamboo Airways,1938782,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,7,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
DAD0021,Bamboo Airways,1938782,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,1,8,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0007,Bamboo Airways,1300341,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,1,9,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
DAD0022,Bamboo Airways,1443123,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,1,9,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0023,Bamboo Airways,1300341,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,1,10,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0003,Bamboo Airways,1443123,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,2,1,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
DAD0015,Bamboo Airways,1443123,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,2,1,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0016,Bamboo Airways,1608343,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,2,2,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0004,Bamboo Airways,1938782,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,2,2,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
DAD0017,Bamboo Airways,1608343,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,3,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0005,Bamboo Airways,1300341,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,4,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
DAD0018,Bamboo Airways,1443123,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,4,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0019,Bamboo Airways,2540509,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,5,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False
DAD0020,Bamboo Airways,1608343,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,6,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0006,Bamboo Airways,1938782,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,6,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
DAD0021,Bamboo Airways,1938782,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,1,7,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0007,Bamboo Airways,1443123,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,1,8,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
DAD0022,Bamboo Airways,1443123,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,1,8,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0023,Bamboo Airways,1300341,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,1,9,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0004,Bamboo Airways,1773563,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,2,1,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
DAD0016,Bamboo Airways,1938782,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,2,1,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0017,Bamboo Airways,1938782,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,2,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0005,Bamboo Airways,1443123,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,3,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
DAD0018,Bamboo Airways,1773563,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,3,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0019,Bamboo Airways,2540509,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,4,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False
DAD0020,Bamboo Airways,1608343,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,5,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
DAD0006,Bamboo Airways,1773563,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",85,0,5,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
