id,brand,price,destination,trip_mins,is_holiday,days_left,start_hour_Afternoon,start_hour_EarlyMorning,start_hour_Evening,start_hour_LateNight,start_hour_Morning,end_hour_Afternoon,end_hour_EarlyMorning,end_hour_Evening,end_hour_LateNight,end_hour_Morning,hand_luggage_7,hand_luggage_10,hand_luggage_12,checked_baggage_0,checked_baggage_20,checked_baggage_23
CXR0001,VietJet Air,1892258,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,17,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0001,VietJet Air,1431413,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,16,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0001,VietJet Air,1327929,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,15,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0001,VietJet Air,1283783,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,14,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0001,VietJet Air,1285778,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,13,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0002,VietJet Air,818157,"Nha Trang (CXR)
Sân bay Cam Ranh",60,0,20,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0003,VietJet Air,1907415,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,20,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0003,VietJet Air,1918000,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,19,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0003,VietJet Air,1908410,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,18,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0003,VietJet Air,1892258,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,17,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0003,VietJet Air,1915200,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,16,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0003,VietJet Air,1946434,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,15,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0003,VietJet Air,1897245,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,14,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0003,VietJet Air,1900238,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,13,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0003,VietJet Air,1922183,"Nha Trang (CXR)
Sân bay Cam Ranh",60,3,12,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
