id,brand,price,destination,trip_mins,is_holiday,days_left,start_hour_Afternoon,start_hour_EarlyMorning,start_hour_Evening,start_hour_LateNight,start_hour_Morning,end_hour_Afternoon,end_hour_EarlyMorning,end_hour_Evening,end_hour_LateNight,end_hour_Morning,hand_luggage_7,hand_luggage_10,hand_luggage_12,checked_baggage_0,checked_baggage_20,checked_baggage_23
DAD0763,Vietravel Airlines,2511705,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,2,2,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0764,Vietravel Airlines,2511705,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,2,3,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0765,Vietravel Airlines,1656848,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,0,4,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0766,Vietravel Airlines,1425428,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,0,5,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0767,Vietravel Airlines,1297869,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,0,6,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0768,Vietravel Airlines,1444816,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,0,7,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0769,Vietravel Airlines,1444816,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,1,8,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0770,Vietravel Airlines,1297869,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,1,9,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0771,Vietravel Airlines,1297869,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,1,10,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0763,Vietravel Airlines,2506718,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,2,1,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0764,Vietravel Airlines,2507715,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,2,2,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0765,Vietravel Airlines,1530165,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,0,3,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0766,Vietravel Airlines,1530165,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,0,4,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0767,Vietravel Airlines,1277798,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,0,5,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0768,Vietravel Airlines,1407473,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,0,6,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0769,Vietravel Airlines,1407473,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,1,7,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0770,Vietravel Airlines,1262835,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,1,8,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0771,Vietravel Airlines,1262835,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,1,9,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
DAD0764,Vietravel Airlines,2531655,"Đà Nẵng (DAD)
Sân bay Đà Nẵng",80,2,1,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
