id,price,destination,hand_luggage,checked_baggage,trip_mins,is_holiday,days_left
PQC0002,1245267,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,1
PQC0003,869953,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0004,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,3
PQC0005,782244,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0006,754708,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,6
PQC0007,1222830,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,8
PQC0008,829158,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,10
PQC0003,1245267,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,1
PQC0004,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0005,869953,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,3
PQC0006,754708,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,5
PQC0007,1222830,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,7
PQC0008,829158,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,9
PQC0004,1245267,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,1
PQC0005,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,2
PQC0006,951543,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0007,1222830,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,6
PQC0008,829158,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,8
PQC0005,1136413,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,1
PQC0006,806903,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,3
PQC0007,1117555,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,5
PQC0008,806903,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,7
PQC0006,826753,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,2
PQC0007,1161225,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,4
PQC0008,826753,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,6
PQC0006,1167757,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,1
PQC0007,1245267,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,3
PQC0008,869953,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,5
PQC0009,1167757,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,14
PQC0010,1173625,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,16
PQC0011,1517000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,18
PQC0012,1173625,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,20
PQC0007,1167757,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,2
PQC0008,782244,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,4
PQC0007,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,1
PQC0008,782244,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,3
PQC0009,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,12
PQC0010,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,14
PQC0011,1427825,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,16
PQC0012,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,18
PQC0008,1299147,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,2
PQC0001,1715850,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,20,60,3,21
PQC0002,1715850,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,22
PQC0003,1018850,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,23
PQC0004,1018850,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,24
PQC0005,1018850,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,25
PQC0006,1173625,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,27
PQC0007,1616425,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,29
PQC0009,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,11
PQC0010,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,13
PQC0011,1427825,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,15
PQC0012,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,17
PQC0013,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,18
PQC0008,1167757,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,1
PQC0001,1707271,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,3,20
PQC0002,1715850,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,21
PQC0003,1018850,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,22
PQC0004,874325,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,23
PQC0005,874325,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,24
PQC0006,1173625,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,26
PQC0007,1616425,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,28
PQC0008,1173625,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,30
PQC0009,869953,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,10
PQC0010,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,12
PQC0011,1332977,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,14
PQC0012,1018850,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,16
PQC0013,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,17
PQC0001,1707271,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,3,19
PQC0002,1715850,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,20
PQC0009,869953,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,9
PQC0010,869953,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,11
PQC0011,1332977,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,13
PQC0012,1018850,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,15
PQC0013,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,16
PQC0001,1707271,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,3,18
PQC0002,1715850,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,19
PQC0003,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,20
PQC0009,869953,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,8
PQC0010,869953,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,10
PQC0011,1332977,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,12
PQC0012,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,14
PQC0013,1013756,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,15
PQC0001,1715850,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,3,17
PQC0002,1616425,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,18
