id,price,destination,hand_luggage,checked_baggage,trip_mins,is_holiday,days_left
PQC0109,1567000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,1
PQC0132,1567000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,2,1
PQC0017,1635000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,1
PQC0042,1827000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,1
PQC0088,1827000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,1
PQC0018,1146000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0037,1146000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,2,2
PQC0133,1284000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,2,2
PQC0089,1567000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0110,1567000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0043,1794000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0067,1794000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0019,1037000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,3
PQC0111,1146000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,3
PQC0134,1146000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,2,3
PQC0044,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,3
PQC0068,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,3
PQC0090,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,3
PQC0135,817000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,0,4
PQC0020,1037000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0091,1146000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0112,1146000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0045,1284000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0069,1284000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0021,1037000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,5
PQC0113,1037000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,5
PQC0136,1037000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,0,5
PQC0064,1146000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,5
PQC0070,1146000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,5
PQC0092,1146000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,5
PQC0046,1284000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,5
PQC0137,817000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,0,6
PQC0022,1037000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,6
PQC0114,1037000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,6
PQC0093,1146000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,6
PQC0047,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,6
PQC0071,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,6
PQC0023,1037000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,7
PQC0094,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,7
PQC0115,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,7
PQC0038,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,0,7
PQC0138,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,0,7
PQC0155,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,0,7
PQC0048,1399000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,7
PQC0072,1399000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,7
PQC0139,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,1,8
PQC0024,1399000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,8
PQC0116,1399000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,8
PQC0095,1567000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,8
PQC0049,1682000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,8
PQC0073,1682000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,8
PQC0140,1146000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,1,9
PQC0025,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,9
PQC0096,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,9
PQC0117,1283000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,9
PQC0074,1399000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,9
PQC0050,1567000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,9
