id,price,destination,hand_luggage,checked_baggage,trip_mins,is_holiday,days_left
PQC0323,1224930,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,1
PQC0324,1068323,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0325,1905225,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,3
PQC0326,767292,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0327,903059,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,5
PQC0328,759098,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,6
PQC0329,967575,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,7
PQC0330,1147125,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,8
PQC0331,967575,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,9
PQC0332,767292,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,10
PQC0324,1065330,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,1
PQC0325,1901235,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0326,812963,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,3
PQC0327,875805,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0328,746130,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,5
PQC0329,953610,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,6
PQC0330,1144133,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,7
PQC0331,953610,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,8
PQC0332,747128,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,9
PQC0325,1921185,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,1
PQC0326,1077300,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,2
PQC0327,975555,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,3
PQC0328,754110,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0329,1144133,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,5
PQC0330,1155105,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,6
PQC0331,964583,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,7
PQC0332,754110,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,8
PQC0326,1086278,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,1
PQC0327,1075305,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,2
PQC0328,808973,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,3
PQC0329,1131165,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0330,1154108,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,5
PQC0331,951615,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,6
PQC0332,742140,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,7
PQC0327,1077300,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,1
PQC0328,829920,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,2
PQC0329,1133160,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,3
PQC0330,1155105,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,4
PQC0331,1005480,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,5
PQC0332,743138,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,1,6
